tier,model,n,error,mean_ms,p95_ms,tokens_per_s,ttft_ms,tpot_ms
small,Qwen/Qwen2.5-0.5B-Instruct,25,,1551.3,1595.1,30.94,37.1,32.22
mid,Qwen/Qwen2.5-3B-Instruct,25,,2310.2,2363.8,20.78,54.5,48.0
